Episode 85, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -470
Episode 86, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -168
Episode 87, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -272
Episode 88, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -204
Episode 89, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -6739
Episode 90, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -676
Episode 91, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -6970
Episode 92, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -117
Episode 93, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -1668
Episode 94, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -6045
Episode 95, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -1221
Episode 96, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -328
Episode 97, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -2478
Episode 98, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -478
Episode 99, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -2866
Episode 100, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -888
Episode 101, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -9765
Episode 102, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -1336
Episode 103, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -2037
Episode 104, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -922
Episode 105, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -254
Episode 106, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -5048
Episode 107, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -9928
Episode 108, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -5281
Episode 109, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -962
Episode 110, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -3116
Episode 111, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -2749
Episode 112, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -4958
Episode 113, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -1375
Episode 114, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -3542
Episode 115, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -297
Episode 116, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -3643
Episode 117, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -3416
Episode 118, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -1264
Episode 119, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -498
Episode 120, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -4581
Episode 121, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -3917
Episode 122, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -5600
Episode 123, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -1255
Episode 124, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -6450
Episode 125, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -6032
Episode 126, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -1839
Episode 127, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -404
Episode 128, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -851
Episode 129, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -5710
Episode 130, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -311
Episode 131, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -535
Episode 132, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -4028
Episode 133, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -1392
Episode 134, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -4109
Episode 135, Exploration Rate: 0.51, Win :False, Lose :True , Reward: 42
Episode 136, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -1047
Episode 137, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -4457
Episode 138, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -1943
Episode 139, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -946
Episode 140, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -365
Episode 141, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -567
Episode 142, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -3067
Episode 143, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -124
Episode 144, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -980
Episode 145, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -3
Episode 146, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -474
Episode 147, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -577
Episode 148, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -640
Episode 149, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -8516
Episode 150, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -1306
Episode 151, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -4885
Episode 152, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -1603
Episode 153, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -1600
Episode 154, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -1579
Episode 155, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -88
Episode 156, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -5190
Episode 157, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -1945
Episode 158, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -893
Episode 159, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -3003
Episode 160, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -2190
