Episode 84, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -1283
Episode 85, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -4783
Episode 86, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -1520
Episode 87, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -10317
Episode 88, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -5018
Episode 89, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -6900
Episode 90, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -683
Episode 91, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -1513
Episode 92, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -9936
Episode 93, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -135
Episode 94, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -2415
Episode 95, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -1849
Episode 96, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -900
Episode 97, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -1157
Episode 98, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -10267
Episode 99, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -231
Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -1722
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -852
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2724
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2197
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -262
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -788
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -1562
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -281
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -2382
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -2887
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -6156
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -2080
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -5283
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -2787
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -3121
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -2967
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -859
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -11948
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -1355
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -5907
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -10840
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2726
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -1269
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -1668
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -920
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -58
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -146
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -1891
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -4262
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -7151
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -4547
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -1071
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -267
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -583
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -758
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -1759
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -4644
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -6868
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -1303
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -4060
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -3780
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -3603
Episode 42, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -64
Episode 43, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -1197
Episode 44, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -1320
Episode 45, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -5576
Episode 46, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -8333
Episode 47, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -2034
Episode 48, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -3326
Episode 49, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -1206
Episode 50, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -1942
Episode 51, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -3107
Episode 52, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -6316
Episode 53, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -745
Episode 54, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -152
Episode 55, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -985
Episode 56, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -1409
Episode 57, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -6053
Episode 58, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -839
Episode 59, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -1057
Episode 60, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -2899
Episode 61, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -5357
Episode 62, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -892
Episode 63, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -305
Episode 64, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -1721
Episode 65, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -2274
Episode 66, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -7312
