Episode 68, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -435
Episode 69, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -312
Episode 70, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -961
Episode 71, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -9699
Episode 72, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -846
Episode 73, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -170
Episode 74, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -3853
Episode 75, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -1695
Episode 76, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -3459
Episode 77, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -9451
Episode 78, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -4232
Episode 79, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -116
Episode 80, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -368
Episode 81, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -446
Episode 82, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -829
Episode 83, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -376
Episode 84, Exploration Rate: 0.66, Win :False, Lose :True , Reward: -4403
Episode 85, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -833
Episode 86, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -3359
Episode 87, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -1158
Episode 88, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -404
Episode 89, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -2209
Episode 90, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -5249
Episode 91, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -10624
Episode 92, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -4794
Episode 93, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -1359
Episode 94, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -1072
Episode 95, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -5035
Episode 96, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -573
Episode 97, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -8084
Episode 98, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -145
Episode 99, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -4852
Episode 100, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -3276
Episode 101, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -3132
Episode 102, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -2474
Episode 103, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -2663
Episode 104, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -998
Episode 105, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -3868
Episode 106, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -1875
Episode 107, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -12368
Episode 108, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -2418
Episode 109, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -3547
Episode 110, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -3619
Episode 111, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -1430
Episode 112, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -1980
Episode 113, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -5020
Episode 114, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -447
Episode 115, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -4613
Episode 116, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -1687
Episode 117, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -250
Episode 118, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -3660
Episode 119, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -1508
Episode 120, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -3035
Episode 121, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -3906
Episode 122, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -1026
Episode 123, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -6893
Episode 124, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -4139
Episode 125, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -76
Episode 126, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -10388
Episode 127, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -1810
Episode 128, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -2828
Episode 129, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -7902
Episode 130, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -6588
Episode 131, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -2518
Episode 132, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -2483
Episode 133, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -4020
Episode 134, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -3598
Episode 135, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -1308
Episode 136, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -2271
Episode 137, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -3899
Episode 138, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -6769
Episode 139, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -3988
Episode 140, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -5629
Episode 141, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -2776
Episode 142, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -2591
Episode 143, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -2007
Episode 144, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -3477
Episode 145, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -505
Episode 146, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -1990
Episode 147, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -7266
Episode 148, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -6480
Episode 149, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -2271
Episode 150, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -4444
Episode 151, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -1176
Episode 152, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -1763
Episode 153, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3741
Episode 154, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3805
Episode 155, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -6268
Episode 156, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3221
Episode 157, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -5342
Episode 158, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -7939
Episode 159, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -6737
Episode 160, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -6230
Episode 161, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -4433
Episode 162, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -5409
Episode 163, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -4947
Episode 164, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -1770
Episode 165, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -10574
Episode 166, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -5546
Episode 167, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -686
Episode 168, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -4864
Episode 169, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -1787
Episode 170, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -6265
Episode 171, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -6033
Episode 172, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -3655
Episode 173, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -4376
Episode 174, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -21942
Episode 175, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -3743
Episode 176, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -5490
Episode 177, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -571
Episode 178, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -7484
Episode 179, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -9085
Episode 180, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -281
Episode 181, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -4652
Episode 182, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -3681
Episode 183, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -6212
Episode 184, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -5587
Episode 185, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -984
Episode 186, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -2309
Episode 187, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -4969
Episode 188, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -5020
Episode 189, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -3141
Episode 190, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -289
Episode 191, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -4626
Episode 192, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -3614
Episode 193, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -6892
Episode 194, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -9751
Episode 195, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -7814
Episode 196, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -4816
Episode 197, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -250
Episode 198, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -4571
Episode 199, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -2608
Episode 200, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -2767
Episode 201, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -3155
Episode 202, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -1776
Episode 203, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -2503
Episode 204, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -4010
Episode 205, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -7867
Episode 206, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -2405
Episode 207, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -2169
Episode 208, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -4791
Episode 209, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -2920
Episode 210, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -4866
Episode 211, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -4041
Episode 212, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -3243
Episode 213, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -4913
Episode 214, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -2087
Episode 215, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -2407
Episode 216, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -6576
Episode 217, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -6080
Episode 218, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -6569
Episode 219, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -3159
Episode 220, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -5711
Episode 221, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1823
Episode 222, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -3044
Episode 223, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1543
Episode 224, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -2323
Episode 225, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -1664
Episode 226, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -2152
Episode 227, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -3591
Episode 228, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -3095
Episode 229, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -824
Episode 230, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -4352
Episode 231, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -7938
Episode 232, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -7453
Episode 233, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -1901
Episode 234, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -1447
Episode 235, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -2560
Episode 236, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -4350
Episode 237, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -2858
Episode 238, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -4891
Episode 239, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -4458
Episode 240, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -3830
Episode 241, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -618
Episode 242, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -1950
Episode 243, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -247
Episode 244, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -218
Episode 245, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -360
Episode 246, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -126
Episode 247, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -293
Episode 248, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -199
Episode 249, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -85
Episode 250, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -1855
Episode 251, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -1088
Episode 252, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -936
Episode 253, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -1162
Episode 254, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -654
Episode 255, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -276
Episode 256, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -76
Episode 257, Exploration Rate: 0.28, Win :False, Lose :True , Reward: 311
Episode 258, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -263
Episode 259, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -432
Episode 260, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -1631
Episode 261, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -691
Episode 262, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -2213
Episode 263, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -1426
Episode 264, Exploration Rate: 0.27, Win :False, Lose :True , Reward: 48
Episode 265, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -855
Episode 266, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -812
Episode 267, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -4185
Episode 268, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -2437
Episode 269, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -231
