Episode 85, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -2611
Episode 86, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -195
Episode 87, Exploration Rate: 0.65, Win :False, Lose :True , Reward: -754
Episode 88, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -2055
Episode 89, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -1109
Episode 90, Exploration Rate: 0.64, Win :False, Lose :True , Reward: -3809
Episode 91, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -2522
Episode 92, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -4077
Episode 93, Exploration Rate: 0.63, Win :False, Lose :True , Reward: -1017
Episode 94, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -3801
Episode 95, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -2917
Episode 96, Exploration Rate: 0.62, Win :False, Lose :True , Reward: -6316
Episode 97, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -4597
Episode 98, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -4467
Episode 99, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -269
Episode 100, Exploration Rate: 0.61, Win :False, Lose :True , Reward: -284
Episode 101, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -3295
Episode 102, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -2020
Episode 103, Exploration Rate: 0.60, Win :False, Lose :True , Reward: -1661
Episode 104, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -2269
Episode 105, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -1948
Episode 106, Exploration Rate: 0.59, Win :False, Lose :True , Reward: -6265
Episode 107, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -7581
Episode 108, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -3903
Episode 109, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -2840
Episode 110, Exploration Rate: 0.58, Win :False, Lose :True , Reward: -9963
Episode 111, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -8046
Episode 112, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -8289
Episode 113, Exploration Rate: 0.57, Win :False, Lose :True , Reward: -2000
Episode 114, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -5161
Episode 115, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -5321
Episode 116, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -5144
Episode 117, Exploration Rate: 0.56, Win :False, Lose :True , Reward: -484
Episode 118, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -2461
Episode 119, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -889
Episode 120, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -2358
Episode 121, Exploration Rate: 0.55, Win :False, Lose :True , Reward: -4723
Episode 122, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -1876
Episode 123, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -226
Episode 124, Exploration Rate: 0.54, Win :False, Lose :True , Reward: -2587
Episode 125, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -2473
Episode 126, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -2476
Episode 127, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -4461
Episode 128, Exploration Rate: 0.53, Win :False, Lose :True , Reward: -4098
Episode 129, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -3134
Episode 130, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -4068
Episode 131, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -4469
Episode 132, Exploration Rate: 0.52, Win :False, Lose :True , Reward: -228
Episode 133, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -3024
Episode 134, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -2311
Episode 135, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -1556
Episode 136, Exploration Rate: 0.51, Win :False, Lose :True , Reward: -7524
Episode 137, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -4813
Episode 138, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -1672
Episode 139, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -5200
Episode 140, Exploration Rate: 0.50, Win :False, Lose :True , Reward: -2004
Episode 141, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -3316
Episode 142, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -1912
Episode 143, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -2257
Episode 144, Exploration Rate: 0.49, Win :False, Lose :True , Reward: -7429
Episode 145, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -3141
Episode 146, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -2171
Episode 147, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -3007
Episode 148, Exploration Rate: 0.48, Win :False, Lose :True , Reward: -1003
Episode 149, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -3109
Episode 150, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -7641
Episode 151, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -1923
Episode 152, Exploration Rate: 0.47, Win :False, Lose :True , Reward: -3721
Episode 153, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -5572
Episode 154, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -981
Episode 155, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3248
Episode 156, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -4188
Episode 157, Exploration Rate: 0.46, Win :False, Lose :True , Reward: -3314
Episode 158, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -2020
Episode 159, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -608
Episode 160, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -4851
Episode 161, Exploration Rate: 0.45, Win :False, Lose :True , Reward: -1813
Episode 162, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -2727
Episode 163, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -679
Episode 164, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -2385
Episode 165, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -1845
Episode 166, Exploration Rate: 0.44, Win :False, Lose :True , Reward: -8959
Episode 167, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -2756
Episode 168, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -4021
Episode 169, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -2009
Episode 170, Exploration Rate: 0.43, Win :False, Lose :True , Reward: -2921
Episode 171, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -3773
Episode 172, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -4742
Episode 173, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -1613
Episode 174, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -3199
Episode 175, Exploration Rate: 0.42, Win :False, Lose :True , Reward: -7539
Episode 176, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -5307
Episode 177, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -5248
Episode 178, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -1162
Episode 179, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -936
Episode 180, Exploration Rate: 0.41, Win :False, Lose :True , Reward: -5394
Episode 181, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -6605
Episode 182, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -2054
Episode 183, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -3722
Episode 184, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -2048
Episode 185, Exploration Rate: 0.40, Win :False, Lose :True , Reward: -3164
Episode 186, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -7357
Episode 187, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -1802
Episode 188, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -1584
Episode 189, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -826
Episode 190, Exploration Rate: 0.39, Win :False, Lose :True , Reward: -563
Episode 191, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -1338
Episode 192, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -1907
Episode 193, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -1659
Episode 194, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -2762
Episode 195, Exploration Rate: 0.38, Win :False, Lose :True , Reward: -5966
Episode 196, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -5880
Episode 197, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -1752
Episode 198, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -5972
Episode 199, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -4827
Episode 200, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -5971
Episode 201, Exploration Rate: 0.37, Win :False, Lose :True , Reward: -138
Episode 202, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -5289
Episode 203, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -4182
Episode 204, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -5941
Episode 205, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -485
Episode 206, Exploration Rate: 0.36, Win :False, Lose :True , Reward: -286
Episode 207, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -60
Episode 208, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -70
Episode 209, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -17
Episode 210, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -5834
Episode 211, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -4003
Episode 212, Exploration Rate: 0.35, Win :False, Lose :True , Reward: -278
Episode 213, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -231
Episode 214, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -845
Episode 215, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -1977
Episode 216, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -505
Episode 217, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -881
Episode 218, Exploration Rate: 0.34, Win :False, Lose :True , Reward: -592
Episode 219, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -193
Episode 220, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -656
Episode 221, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -3990
Episode 222, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1727
Episode 223, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1743
Episode 224, Exploration Rate: 0.33, Win :False, Lose :True , Reward: -1258
Episode 225, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -1556
Episode 226, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -600
Episode 227, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -278
Episode 228, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -466
Episode 229, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -102
Episode 230, Exploration Rate: 0.32, Win :False, Lose :True , Reward: -267
Episode 231, Exploration Rate: 0.31, Win :False, Lose :True , Reward: 2
Episode 232, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -133
Episode 233, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -595
Episode 234, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -3770
Episode 235, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -115
Episode 236, Exploration Rate: 0.31, Win :False, Lose :True , Reward: -232
Episode 237, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -280
Episode 238, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -118
Episode 239, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -2094
Episode 240, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -541
Episode 241, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -7645
Episode 242, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -759
Episode 243, Exploration Rate: 0.30, Win :False, Lose :True , Reward: -565
Episode 244, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -144
Episode 245, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -855
Episode 246, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -181
Episode 247, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -302
Episode 248, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -164
Episode 249, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -218
Episode 250, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -256
Episode 251, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -360
Episode 252, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -482
Episode 253, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -598
Episode 254, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -592
Episode 255, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -442
Episode 256, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -838
Episode 257, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -1753
Episode 258, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -832
Episode 259, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -273
Episode 260, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -270
Episode 261, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -479
Episode 262, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -839
