Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -5023
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -4078
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -852
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -1419
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1822
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -3102
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -2835
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -3064
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -1167
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -2644
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -483
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -7226
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -1368
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -8549
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -6351
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -5277
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -4980
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -726
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -510
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -752
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -506
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -232
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -1535
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -6988
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -7383
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -1057
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -10281
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -864
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -2292
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -4143
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -14185
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -1864
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -2137
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -1070
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -6485
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -1245
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -3057
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -1127
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -682
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -3214
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -6818
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -2764
Episode 42, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -1697
Episode 43, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -3700
Episode 44, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -217
Episode 45, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -1213
Episode 46, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -838
Episode 47, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -3230
Episode 48, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -3784
Episode 49, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -4610
Episode 50, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -5780
Episode 51, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -755
Episode 52, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -656
Episode 53, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -3181
Episode 54, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -317
Episode 55, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -263
Episode 56, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -2073
Episode 57, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -10274
Episode 58, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -1793
Episode 59, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -2527
Episode 60, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -1220
Episode 61, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -912
Episode 62, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -729
Episode 63, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -460
Episode 64, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -554
Episode 65, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -1663
Episode 66, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -1069
Episode 67, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -831
Episode 68, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -1700
Episode 69, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -624
Episode 70, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -954
Episode 71, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -1488
Episode 72, Exploration Rate: 0.70, Win :False, Lose :True , Reward: -231
Episode 73, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -158
Episode 74, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -1006
Episode 75, Exploration Rate: 0.69, Win :False, Lose :True , Reward: -212
Episode 76, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -600
Episode 77, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -281
Episode 78, Exploration Rate: 0.68, Win :False, Lose :True , Reward: -744
Episode 79, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -573
Episode 80, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -227
Episode 81, Exploration Rate: 0.67, Win :False, Lose :True , Reward: -180
