Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -2975
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -7372
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -967
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -10110
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -3489
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -5642
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -470
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -259
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -3511
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -938
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -148
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -3725
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -322
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -6004
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -1637
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -3093
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -14896
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -2075
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -328
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -6456
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -1559
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -5072
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -3801
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -2469
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -8696
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -7949
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -526
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -1312
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -6304
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -3010
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -58
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -2656
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -2186
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -2774
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -250
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -659
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -5926
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -2845
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -1381
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -2528
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -801
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -1394
Episode 42, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -7586
Episode 43, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -10662
Episode 44, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -558
Episode 45, Exploration Rate: 0.80, Win :False, Lose :True , Reward: -1756
Episode 46, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -1262
Episode 47, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -1299
Episode 48, Exploration Rate: 0.79, Win :False, Lose :True , Reward: -5855
Episode 49, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -3725
Episode 50, Exploration Rate: 0.78, Win :False, Lose :True , Reward: -955
Episode 51, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -801
Episode 52, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -1426
Episode 53, Exploration Rate: 0.77, Win :False, Lose :True , Reward: -171
Episode 54, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -8754
Episode 55, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -1518
Episode 56, Exploration Rate: 0.76, Win :False, Lose :True , Reward: -1827
Episode 57, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -2248
Episode 58, Exploration Rate: 0.75, Win :False, Lose :True , Reward: -791
Episode 59, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -423
Episode 60, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -2006
Episode 61, Exploration Rate: 0.74, Win :False, Lose :True , Reward: -4693
Episode 62, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -1540
Episode 63, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -1439
Episode 64, Exploration Rate: 0.73, Win :False, Lose :True , Reward: -3233
Episode 65, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -788
Episode 66, Exploration Rate: 0.72, Win :False, Lose :True , Reward: -4181
Episode 67, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -944
Episode 68, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -2244
Episode 69, Exploration Rate: 0.71, Win :False, Lose :True , Reward: -527
