Episode 0, Exploration Rate: 1.00, Win :False, Lose :True , Reward: -2152
Episode 1, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -4154
Episode 2, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -1993
Episode 3, Exploration Rate: 0.99, Win :False, Lose :True , Reward: -2814
Episode 4, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -1055
Episode 5, Exploration Rate: 0.98, Win :False, Lose :True , Reward: -5067
Episode 6, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -1774
Episode 7, Exploration Rate: 0.97, Win :False, Lose :True , Reward: -3122
Episode 8, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -353
Episode 9, Exploration Rate: 0.96, Win :False, Lose :True , Reward: -5583
Episode 10, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -1176
Episode 11, Exploration Rate: 0.95, Win :False, Lose :True , Reward: -8169
Episode 12, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -1626
Episode 13, Exploration Rate: 0.94, Win :False, Lose :True , Reward: -206
Episode 14, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -2606
Episode 15, Exploration Rate: 0.93, Win :False, Lose :True , Reward: -1083
Episode 16, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -2809
Episode 17, Exploration Rate: 0.92, Win :False, Lose :True , Reward: -165
Episode 18, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -393
Episode 19, Exploration Rate: 0.91, Win :False, Lose :True , Reward: -1256
Episode 20, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2455
Episode 21, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -2929
Episode 22, Exploration Rate: 0.90, Win :False, Lose :True , Reward: -937
Episode 23, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -6117
Episode 24, Exploration Rate: 0.89, Win :False, Lose :True , Reward: -782
Episode 25, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -2200
Episode 26, Exploration Rate: 0.88, Win :False, Lose :True , Reward: -2578
Episode 27, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -1468
Episode 28, Exploration Rate: 0.87, Win :False, Lose :True , Reward: -2905
Episode 29, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -626
Episode 30, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -2000
Episode 31, Exploration Rate: 0.86, Win :False, Lose :True , Reward: -159
Episode 32, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -549
Episode 33, Exploration Rate: 0.85, Win :False, Lose :True , Reward: -847
Episode 34, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -6397
Episode 35, Exploration Rate: 0.84, Win :False, Lose :True , Reward: -2274
Episode 36, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -4803
Episode 37, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -1383
Episode 38, Exploration Rate: 0.83, Win :False, Lose :True , Reward: -189
Episode 39, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -2525
Episode 40, Exploration Rate: 0.82, Win :False, Lose :True , Reward: -1243
Episode 41, Exploration Rate: 0.81, Win :False, Lose :True , Reward: -424
